index,UMAP_1,UMAP_2,state
5273,11.431032,6.2034516,start
5149,13.4337015,6.524579,start
5847,10.806889,3.4471638,start
5974,12.728652,5.693286,start
6031,5.160214,5.1714153,start
5808,6.321528,6.794487,start
5308,9.921573,8.089608,start
5618,9.702272,5.9375663,start
5976,8.89424,3.6501102,start
5219,11.119706,3.7595334,start
5702,12.742628,7.4252276,start
5945,6.2867675,4.281302,start
5640,10.409746,4.397291,start
5514,9.863121,5.828963,start
5082,7.746337,6.416946,start
5283,10.180775,7.1153016,start
5901,9.476779,8.92175,start
5730,10.99047,8.118909,start
5600,8.59312,7.3587966,start
6011,10.380253,8.8564,start
5701,9.098621,8.470485,start
5881,12.72727,4.2692475,start
5165,9.42276,7.661282,start
5285,6.0457616,6.2485037,start
5396,6.8712697,8.147379,start
5929,13.617154,5.1779003,start
5164,6.7316833,3.5231009,start
5456,10.931862,9.050163,start
5130,7.5887036,2.903761,start
5832,13.429886,6.2336936,start
5318,7.5229545,8.328254,start
5078,7.184892,3.3243973,start
5903,12.528136,5.082341,start
5891,10.16318,3.714928,start
5393,11.327864,3.5088844,start
5735,7.7528377,3.813266,start
5683,10.731236,8.793915,start
5622,6.260177,6.77705,start
6053,13.608647,7.842118,start
5258,12.095579,3.3402069,start
6049,8.960968,4.0438023,start
5756,7.491674,4.914253,start
5047,9.035968,5.4405646,start
5065,12.179897,6.5417986,start
5516,11.922385,5.057325,start
5338,11.829844,3.3368635,start
5924,12.57002,7.674304,start
5054,10.678565,8.395102,start
5264,14.026821,6.368679,start
5391,5.582911,6.7176557,start
5155,12.36971,4.8424425,start
5854,9.653523,3.547179,start
6045,12.546379,7.329684,start
5134,12.884008,3.6566339,start
5708,9.137918,8.81359,start
6094,11.220553,9.211877,start
5754,8.099083,7.884975,start
5420,6.1643186,5.2289653,start
5004,10.21618,8.814348,start
5444,6.738175,3.6384933,start
5654,8.448426,7.367048,start
6019,10.790592,3.4327273,start
5097,10.843074,6.95201,start
5192,8.681739,6.9690614,start
5637,11.757371,4.380566,start
5089,6.364503,5.44425,start
5359,7.6543756,8.032978,start
5984,13.674651,6.0798864,start
5479,7.430979,4.7665763,start
5851,8.1598425,3.7086277,start
5809,8.700684,3.4343827,start
5554,9.6858225,5.025417,start
5426,6.2764506,5.1832833,start
5310,9.591156,8.461052,start
5802,7.2618117,5.6431675,start
5286,8.992332,3.0714622,start
5191,6.3988004,4.995153,start
5311,13.097422,5.7518206,start
6021,7.5653586,4.371625,start
5193,11.838342,5.500889,start
5781,12.841442,7.9184585,start
5667,8.775807,7.4114537,start
6058,12.737431,7.6628146,start
5890,6.52788,7.040421,start
5927,13.045638,7.618597,start
5288,11.516061,6.065575,start
5738,6.9375286,8.194795,start
5280,12.566602,5.795022,start
5563,12.000653,6.160567,start
5116,13.47742,5.261296,start
5141,11.652492,7.1451883,start
6078,6.1851125,6.6317835,start
5099,6.446222,5.5444894,start
6080,11.867808,3.932287,start
5840,9.719645,5.034942,start
5162,13.066178,6.3973985,start
6072,5.0071197,5.174569,start
5323,11.27842,4.6943383,start
5079,11.529142,4.2910404,start
5287,9.135454,3.3212488,start
5900,10.2675495,2.872335,start
5955,11.27055,6.097563,start
5052,12.604171,8.230085,start
5113,11.773871,4.646048,start
6018,11.72791,5.643477,start
5845,6.9103312,4.4261007,start
5091,13.339635,4.6257143,start
5497,10.17805,5.2073336,start
5169,11.168104,4.1499634,start
5713,11.064121,5.136611,start
5146,9.950634,8.736266,start
5370,11.6778755,9.017419,start
6015,9.74442,6.255027,start
5582,11.660815,2.9163191,start
5787,8.452637,7.878703,start
5507,12.778621,6.396231,start
6023,13.96514,6.9454207,start
5606,10.97634,4.9164543,start
5021,10.577318,4.8738313,start
5106,10.52479,8.713778,start
5761,12.96279,4.3399243,start
6036,10.647027,6.9980597,start
5112,8.661028,8.206697,start
5317,9.9477415,5.6787577,start
5205,13.445441,6.4188824,start
5569,9.490379,4.446913,start
5129,13.988562,6.4477797,start
5813,9.723098,5.8512554,start
5551,7.5692673,3.8873186,start
5062,6.543381,5.646556,start
5392,7.749337,5.3817534,start
5372,12.522541,4.8827305,start
5665,8.199084,3.3771734,start
5783,9.726107,2.591525,start
5018,11.229626,2.93594,start
5254,9.102684,6.0150843,start
6042,12.159407,7.8546295,start
5178,12.027474,8.062168,start
5351,9.342498,6.2057257,start
5920,12.567959,3.1726213,start
5804,7.58422,5.449137,start
5792,9.953393,3.4912593,start
5871,7.6195846,7.4582067,start
5799,9.113869,7.142151,start
5481,12.495432,3.762884,start
5206,8.173251,7.485038,start
5383,11.051532,6.867908,start
5266,11.777206,4.4815984,start
5357,10.3732195,6.0059977,start
5043,8.590082,5.680219,start
6082,13.729563,6.7366757,start
5741,12.067946,4.897461,start
5655,10.043653,7.197629,start
5332,10.942227,7.652638,start
5644,6.0377297,4.3549004,start
6006,7.038578,4.3267436,start
5144,11.789956,8.560104,start
5534,11.477525,7.1504846,start
5120,10.502128,6.7126346,start
5452,9.190855,7.0587935,start
5882,9.08585,7.5172353,start
5540,7.607535,5.5488114,start
5486,6.0693374,5.623726,start
5715,9.34445,4.8472257,start
6066,11.39978,2.420442,start
5083,12.722517,4.174591,start
5243,8.633898,8.674001,start
5752,11.220172,1.9054275,start
5217,8.163502,6.8916583,start
5115,10.648497,7.555116,start
6037,11.745089,3.6056523,start
5559,12.431178,5.649167,start
5398,10.395234,6.0499277,start
5893,7.3188305,7.624003,start
5041,7.429558,8.4957485,start
5074,7.678525,4.3993855,start
5680,11.293706,4.0437407,start
5869,9.842809,6.7632246,start
5578,6.393806,3.8434148,start
5177,10.369278,3.993405,start
5261,8.194085,3.943302,start
5750,9.338728,5.0854273,start
5839,10.26342,5.060771,start
5584,11.155262,7.8172474,start
6012,10.477537,5.723516,start
5412,7.854222,3.9573138,start
5727,9.485974,2.4363272,start
5197,7.9025764,7.17699,start
5331,8.807952,4.867881,start
5104,11.231477,4.015788,start
5267,10.852688,8.354167,start
5406,10.917888,4.3120537,start
5362,9.22927,8.538185,start
5302,5.702067,5.892494,start
5375,8.84921,6.0729895,start
5016,7.827953,8.090094,start
5742,9.437394,4.9819827,start
5572,12.591747,2.8430786,start
5866,9.72514,5.9058776,start
5212,13.012917,5.0493793,start
5037,9.40558,5.2442274,start
5471,9.586044,6.0915966,start
5495,12.739612,6.898808,start
5416,11.812121,6.788095,start
5341,12.410977,6.2446976,start
5583,10.339072,3.055105,start
5010,12.835397,5.143917,start
5235,10.627233,4.413914,start
5867,12.821694,7.75638,start
5912,11.205841,6.4312134,start
5694,9.865937,9.186571,start
5304,7.371045,3.2682552,start
5531,6.4793186,6.8561745,start
5152,8.415407,5.402144,start
6034,10.157276,5.194861,start
5830,10.037292,4.426835,start
5050,10.239517,4.5497637,start
5411,13.667822,8.015537,start
5941,11.478671,3.5272634,start
5386,12.835527,4.2841682,start
5607,12.714075,7.6079454,start
5852,11.748634,5.9734564,start
5194,11.192704,5.9333353,start
5090,9.361239,7.3226805,start
5154,10.881086,3.378729,start
5051,9.113382,7.821351,start
5009,6.4428725,6.628846,start
5045,6.677968,5.4272394,start
5522,11.124088,7.6814785,start
5470,9.253561,4.0513396,start
5868,8.219001,3.8748186,start
5387,5.7784734,5.54958,start
5327,9.742384,8.353506,start
6007,11.387265,8.556715,start
5124,12.873066,7.271757,start
5999,10.821782,7.220671,start
5824,9.044216,8.346889,start
5277,6.7959237,7.764307,start
5633,10.505979,2.7564871,start
5682,11.895537,4.4098697,start
5675,11.938554,3.5590353,start
6041,12.732734,5.7474937,start
5914,7.4523816,6.977969,start
5605,9.798764,7.022219,start
5681,9.340036,4.8467274,start
6009,8.823079,3.3760912,start
5994,9.510599,6.5466304,start
5464,6.9164386,3.1823418,start
5691,12.9189205,5.622891,start
5504,12.264504,5.563393,start
5404,10.0784855,2.5822995,start
6030,5.824512,6.789251,start
5921,5.5950623,6.2418833,start
5019,9.696925,6.250619,start
5220,10.203001,3.3074183,start
5740,7.5703335,7.3826127,start
5748,8.716243,7.5871663,start
5515,10.519161,3.9899333,start
5993,9.310819,2.7992268,start
5432,5.940139,5.8037686,start
5303,8.696011,4.183079,start
5581,5.9830728,4.998795,start
5385,8.964923,6.3745756,start
5185,7.772868,3.3315015,start
5461,13.606195,8.047776,start
5812,10.116353,4.291522,start
5356,7.444601,3.9021661,start
5238,10.198141,4.865167,start
5458,10.081098,8.573146,start
6048,8.038705,5.632263,start
5431,8.309307,6.7922416,start
5628,14.2011385,7.03668,start
5101,11.086728,4.8170004,start
5364,10.711048,7.630532,start
5992,11.674048,8.406317,start
5517,10.012099,6.172024,start
6090,9.247384,8.60143,start
5056,12.156608,7.4978704,start
6044,8.427074,4.500458,start
5163,10.676263,5.3189573,start
5705,8.868767,7.9746647,start
5453,7.6011972,8.172009,start
5819,8.4268265,6.5004735,start
5895,8.771519,3.113341,start
5709,11.753912,4.7304215,start
5291,10.7639475,4.820835,start
5769,11.239596,2.1007044,start
5983,11.827179,8.598498,start
5579,9.889279,4.016949,start
5229,7.501104,4.7246475,start
5260,10.068538,7.5378923,start
5686,6.670418,4.7339525,start
5782,6.541791,3.9726868,start
5674,10.828607,6.900106,start
5513,6.756629,4.572377,start
5656,8.21166,4.295584,start
5815,4.8741584,5.012699,start
5042,12.295442,6.4029837,start
5649,5.4136844,5.5494957,start
5744,7.061969,7.5875754,start
5530,12.5731945,4.103831,start
5459,5.9049726,7.418218,start
5189,13.311477,6.376578,start
5780,6.3281584,7.087194,start
5315,10.990888,2.9080906,start
5964,12.63577,3.638453,start
6056,7.7767744,6.447945,start
5662,8.086751,2.4967003,start
5358,7.4205346,3.8066893,start
5437,5.8126864,6.268829,start
5818,10.48369,7.044037,start
5128,7.3107634,8.366034,start
5071,13.629609,7.365237,start
5899,6.8078265,4.941825,start
5188,6.8671017,6.4246206,start
5330,7.819112,8.018595,start
5468,10.82071,7.9742002,start
5875,6.09593,7.076769,start
5690,10.277438,3.5410008,start
5122,6.6022882,6.3025956,start
5736,10.064349,6.336819,start
5158,7.98704,6.285594,start
5439,9.5050335,5.7127786,start
5590,11.968259,3.5009239,start
5210,7.8699584,3.9274666,start
5399,9.691079,6.798364,start
5137,8.101064,8.787656,start
5811,12.308639,7.9774065,start
5440,11.678603,6.9662933,start
5226,5.742403,5.522631,start
5493,10.556144,7.08399,start
5242,6.863518,7.425496,start
5395,6.4369183,3.8307776,start
5785,7.197716,7.5984693,start
5173,5.9170322,6.9336605,start
5935,5.587864,6.847971,start
5848,9.923014,8.34173,start
5596,9.201773,3.792783,start
5278,9.978407,7.0612583,start
5465,11.457546,6.932312,start
5272,10.036874,6.2868605,start
5526,9.136689,3.9173515,start
5123,10.648436,8.212717,start
6001,10.36116,5.586525,start
6077,8.656871,8.830017,start
5632,11.874033,8.773654,start
5835,9.329262,8.828113,start
5257,5.5872183,5.199251,start
5415,9.28613,6.576824,start
5989,11.020883,5.223793,start
6054,11.07834,8.902125,start
5265,5.968889,4.8443003,start
5026,13.6499405,6.3973446,start
5200,8.339761,5.4735227,start
5339,6.751356,7.677428,start
5671,8.601091,3.1325645,start
5462,11.286827,7.244337,start
5380,12.77168,5.0163345,start
5844,9.187145,4.6824293,start
5689,12.532623,2.9786355,start
5117,13.203823,4.64863,start
5253,7.9039435,4.9588795,start
5389,9.339672,7.130399,start
5502,11.277673,6.9016533,start
5880,10.720598,7.2068825,start
5143,8.355889,8.366489,start
5190,10.130884,2.9022615,start
6088,12.0535,7.023833,start
5139,13.804696,6.632592,start
5048,8.326495,4.616997,start
5131,10.93357,6.3520527,start
5417,9.173977,5.945632,start
5421,10.208533,8.331924,start
5525,5.2654653,4.6759067,start
5403,12.260048,6.034724,start
6074,11.169062,2.1755595,start
5290,9.916714,7.456432,start
5934,6.6211557,4.2351527,start
5872,11.779208,2.2815855,start
5474,11.032436,5.3656883,start
5937,12.572622,7.109733,start
5196,7.7278905,3.4632227,start
5986,7.48404,7.6327353,start
5892,8.872987,8.888554,start
5909,12.168725,4.7031713,start
5107,8.094714,8.298913,start
5762,5.554564,6.431182,start
5343,10.19012,5.0231247,start
5093,9.986566,3.5333703,start
5723,12.998943,5.638694,start
6016,8.594644,7.673966,start
5947,13.1676035,4.566165,start
5707,6.7556396,6.636148,start
5157,9.08216,4.152062,start
5922,13.987617,7.149875,start
5005,7.884394,4.146258,start
5712,11.460728,6.1909323,start
5668,12.182415,8.694453,start
5360,8.383689,4.324099,start
5478,9.650065,5.4149985,start
5204,11.302649,8.108583,start
5488,8.4341955,4.338131,start
5826,10.284791,6.44749,start
5555,12.595602,3.665954,start
5949,6.0852056,3.7450516,start
5499,8.96862,6.508176,start
5367,8.378719,3.3778856,start
5436,13.934139,5.4817467,start
5648,9.984144,6.3818994,start
5950,6.544113,5.3179603,start
5520,9.677902,7.3124027,start
5798,11.859043,8.4748955,start
5181,8.686377,7.14719,start
6096,8.707445,7.763847,start
5687,7.114355,6.1588473,start
5886,7.601707,6.2164598,start
5477,8.281447,4.4068727,start
5174,9.851232,9.068205,start
5650,10.143932,8.437568,start
5942,9.554833,5.2908654,start
6086,6.6127467,6.667741,start
5919,12.635069,5.695308,start
5247,12.306754,3.5955973,start
5523,12.537534,3.2254305,start
5161,11.639651,4.0429516,start
5441,10.631206,8.898004,start
5207,7.769334,6.6595597,start
5660,8.3407135,6.2123623,start
5313,11.123421,4.333979,start
5475,6.4949493,6.3240995,start
5774,13.812215,5.8293815,start
5153,10.72204,8.354813,start
5168,11.348992,5.036461,start
5070,9.211388,7.8482947,start
5319,7.171776,7.0161996,start
6065,13.006055,4.886368,start
5394,13.827673,6.673856,start
5299,6.112446,4.91963,start
5215,9.051328,6.3188643,start
5352,13.1661215,5.266644,start
5829,13.962211,6.1970057,start
5281,9.436466,8.40898,start
5270,9.23009,9.223365,start
5378,8.13446,4.823511,start
5553,8.708645,3.6481133,start
5561,8.094017,5.6481557,start
5195,7.1923,4.252724,start
5199,7.9785957,3.1052861,start
5176,10.968086,5.552992,start
5245,13.329872,6.980148,start
5617,10.689492,3.5599747,start
5222,5.995336,6.509343,start
5376,11.912568,6.8832164,start
5943,9.620117,7.8793335,start
5982,12.541413,4.056503,start
5706,10.41434,4.916626,start
5103,10.648755,9.092747,start
5966,8.997374,4.902504,start
5990,10.329367,8.579391,start
6084,12.774943,3.6262665,start
5269,8.6117,6.382187,start
5846,10.798133,5.795212,start
5125,9.718858,6.95705,start
5337,8.129469,8.429028,start
5529,11.159364,8.076306,start
6043,13.396391,7.0639606,start
5073,8.174618,5.5601363,start
5455,9.333446,5.43849,start
6062,13.689139,5.264129,start
6095,8.390989,3.68114,start
5292,12.020436,7.696506,start
5615,7.24862,4.416226,start
5573,10.079386,8.046152,start
5314,8.795034,7.540028,start
5061,11.65739,8.024608,start
5140,11.800015,6.6638536,start
5034,8.010731,6.971344,start
5250,11.222288,7.63916,start
5763,9.149705,7.7596326,start
5201,8.426237,5.310564,start
5726,12.216113,4.156085,start
6071,7.533055,3.193975,start
5734,5.6039467,5.619356,start
5642,9.749045,4.2962775,start
5044,13.496011,5.2052574,start
5753,11.762132,5.4492755,start
5136,9.840425,6.813952,start
5166,6.2681465,3.901003,start
5382,7.7773867,4.7721496,start
5262,13.186266,6.131093,start
5038,10.123826,3.6808217,start
5334,7.3937793,7.6509056,start
5075,8.077893,7.928019,start
6073,11.118493,8.458026,start
5968,9.626583,9.042421,start
5988,12.036429,3.4525993,start
5067,12.4848795,3.010707,start
5991,6.165525,6.095612,start
6076,6.8744183,6.7950897,start
5790,7.34106,2.98017,start
5676,12.3583,7.1661735,start
5575,6.7927747,7.6605825,start
5678,9.442573,6.0367455,start
5084,7.5036826,7.2220635,start
5483,10.128889,8.621082,start
5445,5.7957263,4.739808,start
5975,5.9672523,7.584974,start
5374,12.443329,3.9974997,start
5539,11.158954,6.6805263,start
5972,10.290443,7.8868446,start
5274,6.5659003,6.1408696,start
5806,5.666511,4.7920437,start
5688,8.538029,6.207885,start
5558,11.590636,4.437535,start
5500,7.9517083,5.2261724,start
5967,13.1931925,7.291614,start
5355,8.563142,4.4158707,start
5970,11.673488,4.1672482,start
5850,11.168052,4.7945747,start
5259,10.659134,7.8322186,start
5954,9.35445,2.4775076,start
5344,7.4194026,5.7424827,start
5031,6.7709417,4.8475285,start
5494,9.604621,4.5798125,start
5377,9.727517,9.308966,start
5237,6.2058806,6.6059356,start
5538,9.716859,7.5871334,start
5167,12.483601,7.2974677,start
5663,8.013196,5.6687217,start
5862,8.733773,3.3628979,start
5794,11.643184,4.3625007,start
5773,7.6672993,3.1421604,start
5251,12.677096,4.7900133,start
6060,9.93851,2.2693827,start
6029,9.411129,7.207834,start
6014,9.780335,2.3407412,start
5624,10.058264,7.485889,start
5894,12.467767,7.2104115,start
5271,12.623505,4.99528,start
5472,10.519137,2.7131743,start
5699,11.077019,6.4849095,start
5369,9.829637,7.6723,start
5216,11.715823,5.4912925,start
5940,12.286889,7.423399,start
5938,8.833517,2.8687224,start
5855,10.122656,2.8107705,start
5751,5.7505383,6.014447,start
5771,6.355512,5.5151744,start
5589,7.826187,7.425488,start
5324,7.696421,3.3429358,start
5775,10.860855,9.223538,start
5030,6.635852,3.9577312,start
5202,12.050186,5.41227,start
5467,11.912077,5.801684,start
6017,6.463388,4.183878,start
5697,7.535625,5.061995,start
5209,10.675652,6.6414733,start
5379,12.337498,8.130469,start
5876,13.035611,4.5531745,start
5236,8.620219,5.912672,start
5567,7.9322386,6.441001,start
5926,10.544933,7.7201786,start
5857,13.75399,6.0561957,start
5309,11.031677,7.2546163,start
5758,10.866999,2.870777,start
5906,11.850588,7.040816,start
5603,7.619837,4.1431184,start
5160,11.373952,7.391962,start
5390,11.269845,1.997084,start
5936,5.606129,5.361732,start
5598,8.2020035,5.066053,start
5703,13.0202265,3.811989,start
