index,UMAP_1,UMAP_2,state
4169,3.9202926,1.5187888,start
4262,5.0987067,6.538745,start
4291,6.304481,3.1901166,start
4463,6.8741093,5.6553802,start
4284,4.3774476,2.5220406,start
4387,7.250735,4.624361,start
4453,2.2519448,4.082617,start
4113,3.1182292,1.2777059,start
4415,2.056194,6.6527877,start
4143,5.1168656,3.487713,start
4377,4.48195,4.0330906,start
4420,6.7139125,1.5467837,start
4275,2.2886832,7.8808217,start
4610,2.184784,7.7880487,start
4419,3.8615663,7.3383703,start
4402,6.4195223,3.0735908,start
4304,4.3943834,4.2100835,start
4346,3.3412192,3.6997528,start
4134,7.337759,6.498037,start
4350,6.394619,1.1066904,start
4112,3.12719,6.4850307,start
4557,4.1398544,2.608786,start
4312,3.6170657,7.3240666,start
4399,1.0708543,5.5961084,start
4474,3.6580422,2.028979,start
4374,5.2501936,-0.4630974,start
4326,1.6082752,5.8428454,start
4136,6.8244886,6.784302,start
4496,8.560188,4.9082923,start
4242,7.168744,7.2125645,start
4120,7.1742334,3.4390604,start
4154,3.27599,3.7686756,start
4574,1.5215881,5.3295765,start
4323,5.865459,5.086177,start
4271,4.2372575,1.4343868,start
4177,8.056257,2.987239,start
4137,4.372807,1.6520078,start
4265,3.526991,2.5047739,start
4161,7.2062364,4.6201887,start
4135,4.40393,1.8480873,start
4462,5.7020664,4.1519966,start
4104,4.1272297,7.992994,start
4553,7.862178,0.8721011,start
4174,6.4018073,2.238565,start
4395,6.6752143,5.8642607,start
4465,2.0372164,7.5974474,start
4360,8.665926,1.6590396,start
4618,8.572226,5.5693007,start
4141,4.6588073,4.164184,start
4467,6.2824206,7.050083,start
4339,5.5542507,4.3509927,start
4438,4.882607,4.771332,start
4331,7.113136,4.7536154,start
4617,3.7164102,6.6931057,start
4517,3.2772646,0.8716587,start
4111,5.5453153,-0.036022168,start
4482,3.7346678,4.326467,start
4228,6.662874,7.362565,start
4354,6.79734,-0.1198816,start
4100,2.8506157,1.5280921,start
4215,7.044823,2.7966504,start
4132,5.0864816,0.40172648,start
4230,5.8959394,5.6279135,start
4236,3.6512687,6.7551866,start
4110,8.297216,3.2240157,start
4380,1.8279495,3.8828106,start
4577,7.7299833,6.434532,start
4385,7.40495,3.245903,start
4280,2.899634,2.900135,start
4298,3.3165333,6.634076,start
4532,4.338147,3.9523273,start
4562,4.568032,2.8699446,start
4599,7.375002,6.1192913,start
4513,2.9698002,1.8209285,start
4251,5.226143,2.2072425,start
4175,4.509133,6.957269,start
4386,5.3521147,4.480224,start
4407,5.33708,2.1529014,start
4403,3.9107418,6.919463,start
4563,7.5233526,6.9746013,start
4382,4.4052773,6.365921,start
4506,3.5099518,6.663634,start
4390,8.155572,5.8513684,start
4307,6.6831827,5.8459024,start
4613,4.677813,0.019940073,start
4130,5.3726063,5.5309825,start
4441,2.7033477,4.446407,start
4567,2.246022,7.5720067,start
4257,3.9858024,8.194004,start
4355,3.3018367,1.9185098,start
4388,3.0105288,7.6130333,start
4366,2.4275699,1.7792728,start
4470,7.1898446,6.565229,start
4614,6.653534,1.8787763,start
4258,7.911486,0.98347485,start
4564,6.889592,7.111435,start
4148,3.9616413,-0.040688764,start
4224,7.9741645,3.071606,goal
4500,6.1160617,5.0408864,goal
4538,7.6140485,4.975301,goal
4320,8.744115,3.7131782,goal
4164,6.9378443,1.6658196,goal
4333,4.076001,7.982412,goal
4582,6.2039876,7.3435707,goal
4253,5.2131295,2.8035786,goal
4313,6.061586,3.9180958,goal
4549,5.813901,3.6223178,goal
4186,4.028789,5.1469965,goal
4207,1.336434,4.7537837,goal
4316,5.847834,2.708501,goal
4519,6.6233826,0.93029636,goal
4511,2.3054178,5.2755494,goal
4460,7.8150926,2.0265632,goal
4289,5.718601,2.7704415,goal
4493,5.394669,5.398388,goal
4197,5.07591,7.917147,goal
4490,3.9584806,5.514897,goal
4226,4.2159376,2.191772,goal
