"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IL13RA2",1.73561933665307,5.01763251325845,4.39085208069619,4.83139820861123e-05,0.144941946258337,-2.75455017202077
"FXYD3",-1.211663072471,5.81281072843698,-3.88101434889022,0.000267879974357795,0.401819961536693,-3.12963445965911
"PPP1R1A",-0.82846310086102,8.37109047561859,-3.32699504473821,0.00152545647530391,0.997557425103601,-3.10803054080752
"FKBP11",-0.85817684814585,6.13792434096824,-3.15703003533525,0.00252552324690905,0.997557425103601,-3.53422864526106
"CD24",-0.993758544534335,6.21403902387814,-3.11775369126199,0.00283151505701896,0.997557425103601,-3.56953826940706
"IGFBP7",-0.724268086029936,7.70972381637664,-3.09638923817257,0.00301221347635046,0.997557425103601,-3.38023848890898
"CCDC126",-0.785930780476087,4.55020705272687,-3.01118352258215,0.00384565770556429,0.997557425103601,-3.84649834203757
"TUBB2B",-0.845664097126984,5.63692577016251,-2.97966751047535,0.00420505810942802,0.997557425103601,-3.71469754280468
"IAPP",-1.90543845782661,6.90607147706049,-2.85320260823112,0.00598467477568185,0.997557425103601,-3.69162289901746
"CKS1B",-0.70488338095904,5.19069800712013,-2.83753127108921,0.00624824552944967,0.997557425103601,-3.85274868637463
"GPATCH11",0.65633526860941,5.43988448691315,2.825008815189,0.00646651704029128,0.997557425103601,-3.77339106175779
"SEMA6A",0.877038506062955,4.91856140981262,2.81235762345415,0.00669415907071235,0.997557425103601,-3.83701821134526
"LINC01023",0.662920202811832,6.12102955127812,2.64942017139838,0.0103647491789037,0.997557425103601,-3.81866586322963
"CXCL16",-0.934972679852519,3.48983051247727,-2.64503105550743,0.0104852302735506,0.997557425103601,-4.14679914603629
"DPH3",-0.635498700123619,5.74186032798822,-2.63007219019102,0.0109055130998026,0.997557425103601,-3.90894122188963
"ISG15",-1.01939996362147,4.06304677401997,-2.62267619457543,0.0111189342828423,0.997557425103601,-4.09070645961974
"CEP95",0.658268449760748,5.22512695197498,2.57387789641485,0.0126250973136576,0.997557425103601,-3.94727553041647
"MSN",1.05348912569466,3.8324460981931,2.55095241466783,0.013394762006522,0.997557425103601,-4.08750183906766
"TM4SF4",-1.152924634529,5.6460681326682,-2.53752829055619,0.0138649525674761,0.997557425103601,-3.9889115486479
"STOM",0.706821975660273,4.03162813693109,2.52811923189845,0.0142033698297776,0.997557425103601,-4.079507400358
"PAPPA2",-0.976068258896851,4.85673022708134,-2.47127630593139,0.016411621870985,0.997557425103601,-4.08500456975688
"CD74",-0.954881357530452,3.7467177999507,-2.44998016791417,0.0173155986718468,0.997557425103601,-4.19219912259944
"KCNE4",0.837482245301171,4.22910716841051,2.43792439130206,0.0178469724777264,0.997557425103601,-4.09720759190459
"LY6E",-0.801589653947132,5.07076201887826,-2.40892143551669,0.019185824846617,0.997557425103601,-4.08848463872845
"MT1E",-1.29490816900727,6.31590004305738,-2.40456495336841,0.0193945318367803,0.997557425103601,-4.01006139767731
"PPY",-1.68732564970834,5.47495690407564,-2.38131363160401,0.0205432249992019,0.997557425103601,-4.09869005033854
"SETX",0.609596428684957,6.27685084388592,2.37552757297841,0.0208383723779864,0.997557425103601,-3.98302977352242
"IGFBP5",-0.784407081818879,4.81293168855391,-2.37155994968415,0.0210429467780495,0.997557425103601,-4.12560319028179
"CFD",-0.854638035329915,2.70052176083466,-2.36729673868607,0.0212647609441079,0.997557425103601,-4.29532997872258
"RAMP2",-1.02722942609465,2.99916334075746,-2.36446502954088,0.0214132466644454,0.997557425103601,-4.28115227510312
"DHRS3",0.891776840433392,3.4451163233112,2.33772561101847,0.0228616844146194,0.997557425103601,-4.20332469657148
"SNAPC1",0.583428459677545,5.24395831113997,2.28399713092472,0.0260385129751671,0.997557425103601,-4.10545590307067
"CTSL",0.411318612342706,7.88196851432633,2.2782478936747,0.0264006372362673,0.997557425103601,-3.95530225729154
"CALCA",1.32979036372679,3.28220923334846,2.27105926121147,0.0268596993882134,0.997557425103601,-4.23738280911149
"LMO2",0.570656059268543,7.2058918326514,2.26907905701519,0.0269873899650842,0.997557425103601,-3.99520257469801
"INTS6",0.442049694320923,6.60547106221487,2.26537206141648,0.0272278759922252,0.997557425103601,-4.03279368204877
"NUDT8",-0.82032173167226,2.3441446186676,-2.26321906956516,0.0273684174551439,0.997557425103601,-4.34783923337665
"LMO7",0.460831852151586,5.75284560237562,2.25202371539167,0.0281096180078014,0.997557425103601,-4.0887018600163
"DUSP5",0.60898784765228,4.00455160829343,2.24928419351413,0.0282936721890902,0.997557425103601,-4.2063398812961
"ITGB5",0.573205611736546,4.27190587466558,2.23298934323346,0.0294106057281607,0.997557425103601,-4.19314237477323
"TTR",-0.626290485674229,13.6894402225563,-2.22936677474296,0.0296641396891889,0.997557425103601,-3.72897029514641
"SCIMP",0.939051161188733,2.22854960575921,2.22022137123613,0.0303127985640158,0.997557425103601,-4.33908337520728
"IFI27L2",-0.594333346332944,7.8509413396701,-2.21756388312326,0.0305036165311085,0.997557425103601,-4.01371360036333
"EGFL7",-0.604093281443588,6.24022035422374,-2.21565969876559,0.0306409945038847,0.997557425103601,-4.10280459987911
"YIPF2",-0.492086831340068,6.02714172536242,-2.21426735463487,0.0307417903045068,0.997557425103601,-4.11455930668906
"GREM1",0.867590810920816,5.25077668215812,2.20927429832792,0.0311056576561096,0.997557425103601,-4.13566680863028
"SLC10A7",0.632455594915838,3.65765621475158,2.2074745140233,0.0312377430790822,0.997557425103601,-4.24763798291612
