"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DKK3",2.92216540530274,2.94713086637882,7.88411377664388,1.89940192317265e-10,5.69820576951794e-07,13.5545772720429
"BARX1",4.56294161063195,-0.788954508430814,7.44775820980769,9.38910529414947e-10,1.40836579412242e-06,11.4767954829454
"RAMP3",3.16853556099939,0.808259073602747,6.45327400524433,3.6311593553411e-08,3.6311593553411e-05,8.45767804772906
"PPP1R1A",-1.5502564308463,8.17572505188567,-6.21688817380818,8.63147760850818e-08,6.47360820638114e-05,7.7978013378159
"SYT1",2.38427081423683,1.36385015847058,6.04796544812414,1.59927811994071e-07,9.59566871964427e-05,7.15242558797816
"TBX2-AS1",3.11980123909367,-0.919841268467016,5.89062445231544,2.83490071832543e-07,0.000141745035916271,6.37518268305885
"TBX2",3.04822169860061,-0.601443806099959,5.80419272863498,3.87874267891014e-07,0.000166231829096149,6.14749854849963
"LINC01116",1.95812033302571,1.68925888106613,5.55017618885579,9.70038155658315e-07,0.000363764308371868,5.50463620168238
"WNT3",1.49893902241341,1.1004150058461,5.51353307117341,1.10645025895485e-06,0.000368816752984949,5.35045949100296
"STOM",0.913243565572564,3.08640362536329,5.16058112651886,3.88967967238999e-06,0.001166903901717,4.21701815104873
"MSN",1.71793014124241,3.73873046742576,4.83762400570186,1.20515570908048e-05,0.00328678829749221,3.13566900883565
"SLC26A4",1.62190082388723,0.367586343688882,4.59705993514043,2.75686451690973e-05,0.00689216129227431,2.40034773535043
"MPST",-0.877880844262322,2.98366659532998,-4.47354449962402,4.19246015538063e-05,0.00967490805087838,2.0142416812656
"ASCL2",-1.92282094271474,4.22694720344941,-4.41867961629503,5.04377765810602e-05,0.0108080949816558,1.81731473814908
"NKX6-2",1.94837101336536,1.93569616430596,4.33107871655024,6.76349119365155e-05,0.0133641926216174,1.57994015822817
"PLPP3",1.64024876088782,0.522217704133317,4.31535193601101,7.12756939819593e-05,0.0133641926216174,1.55119471631229
"GRAMD2B",-0.834371539244544,3.86114918110618,-4.24929814513291,8.87612808741924e-05,0.0156637554483869,1.28421432434863
"TMED6",-1.72510442280182,5.84610507431222,-4.21709471349836,9.87334095756095e-05,0.0164555682626016,1.12454315626701
"EGFL7",-1.05860605097347,4.72190567977703,-4.11912382474588,0.000136224038685006,0.0215090587397378,0.850700026972108
"TNFRSF11B",1.24206474302425,0.18236558313733,4.03279663712012,0.000180419966436231,0.0270629949654346,0.71867816160701
"IGFBP3",-1.54401650461222,1.84761458546367,-4.00269556351918,0.00019887217738665,0.0279302989532176,0.626010149899615
"DUSP5",0.837500081539691,3.7842889981991,3.99356319510417,0.000204822192323596,0.0279302989532176,0.482879476692876
"SLC4A4",1.61469013860122,1.48614689859612,3.93622536006623,0.000246301496543258,0.0321262821578163,0.41453776639045
"S100A6",0.685017193423613,9.09192674100828,3.88098667734588,0.000293857324739231,0.0364368555799551,0.0214997336129592
"TTR",-0.881598711556641,12.8493170224094,-3.87070036973387,0.000303640463166292,0.0364368555799551,-0.0386823695199654
"RAMP2",-1.21611255973992,1.21544152163171,-3.82173125639662,0.000354678000062925,0.0409243846226452,0.118073410470922
"TIMP2",0.502435443000586,7.13774442215313,3.71264796240524,0.000499691612498559,0.0537163816989432,-0.446039348942944
"KCNE4",1.10501429110091,4.25741705426508,3.70034839876115,0.000519230103193823,0.0537163816989432,-0.404576036010574
"PDE4B",1.29560844898198,1.61990196603281,3.70033093666936,0.000519258356423118,0.0537163816989432,-0.267644798367392
"NEFL",2.00023332498306,-0.655533116183006,3.63108164266168,0.000643686842538354,0.0643686842538354,-0.39946161708274
"C12orf75",-0.515629250720417,8.34704330339984,-3.61992401075472,0.000666233041992293,0.0644741653540929,-0.73005232711768
"UNC5B",1.08215176962639,3.9105653693476,3.58023694548876,0.000752706259818992,0.0699745370861894,-0.731959148166904
"FXYD2",-0.821037833503945,10.1041503685223,-3.57294461853074,0.000769719907948083,0.0699745370861894,-0.88676697073183
"FKBP11",-0.947315256210677,6.6889817609204,-3.4875493153132,0.000998327057691243,0.0840886578347054,-1.07010985302349
"ZNF555",1.11042113853893,4.81116250675817,3.48738706580764,0.000998817454435934,0.0840886578347054,-1.03050010758475
"MYOF",1.28606796111309,0.258527497400371,3.47800635560116,0.00102756380607992,0.0840886578347054,-0.818783870301829
"ONECUT2",1.15926922055812,2.92971650198677,3.47495165840349,0.00103709344662803,0.0840886578347054,-0.972260858565249
"TUNAR",0.514535474726586,5.86763223330639,3.3809101005833,0.00137518207481911,0.104534883021179,-1.35614493221038
"IDH2",-0.504983214889089,3.48492030606694,-3.37449231449596,0.00140171578832228,0.104534883021179,-1.25184602556031
